fault_rate,num_rows,injection_rate,system.ruby.network.average_flit_latency,system.ruby.network.average_packet_latency,system.ruby.network.flits_received::total,system.ruby.network.packets_received::total
0.0,4,0.1,5270.833333,5718.75,96.0,32.0
0.0,4,0.1,5270.833333,5718.75,96.0,32.0
0.0,4,0.1,5270.833333,5718.75,96.0,32.0
0.0,4,0.1,5270.833333,5750.0,96.0,32.0
0.0,4,0.1,5270.833333,5718.75,96.0,32.0
0.0,4,0.11,5270.833333,5718.75,96.0,32.0
0.0,4,0.11,5270.833333,5750.0,96.0,32.0
0.0,4,0.11,5270.833333,5718.75,96.0,32.0
0.0,4,0.11,5270.833333,5750.0,96.0,32.0
0.0,4,0.11,5270.833333,5750.0,96.0,32.0
0.0,4,0.12,5270.833333,5718.75,96.0,32.0
0.0,4,0.12,5270.833333,5750.0,96.0,32.0
0.0,4,0.12,5270.833333,5750.0,96.0,32.0
0.0,4,0.12,5270.833333,5718.75,96.0,32.0
0.0,4,0.12,5270.833333,5718.75,96.0,32.0
0.0,4,0.13,5270.833333,5750.0,96.0,32.0
0.0,4,0.13,5270.833333,5718.75,96.0,32.0
0.0,4,0.13,5270.833333,5750.0,96.0,32.0
0.0,4,0.13,5270.833333,5718.75,96.0,32.0
0.0,4,0.13,5270.833333,5718.75,96.0,32.0
0.0,4,0.14,5270.833333,5750.0,96.0,32.0
0.0,4,0.14,5270.833333,5750.0,96.0,32.0
0.0,4,0.14,5270.833333,5750.0,96.0,32.0
0.0,4,0.14,5270.833333,5718.75,96.0,32.0
0.0,4,0.14,5270.833333,5750.0,96.0,32.0
0.0,4,0.15,5270.833333,5750.0,96.0,32.0
0.0,4,0.15,5270.833333,5750.0,96.0,32.0
0.0,4,0.15,5270.833333,5718.75,96.0,32.0
0.0,4,0.15,5270.833333,5718.75,96.0,32.0
0.0,4,0.15,5270.833333,5718.75,96.0,32.0
0.0,4,0.16,5270.833333,5750.0,96.0,32.0
0.0,4,0.16,5270.833333,5750.0,96.0,32.0
0.0,4,0.16,5270.833333,5718.75,96.0,32.0
0.0,4,0.16,5270.833333,5750.0,96.0,32.0
0.0,4,0.16,5270.833333,5750.0,96.0,32.0
0.0,4,0.17,5270.833333,5750.0,96.0,32.0
0.0,4,0.17,5270.833333,5750.0,96.0,32.0
0.0,4,0.17,5270.833333,5750.0,96.0,32.0
0.0,4,0.17,5270.833333,5750.0,96.0,32.0
0.0,4,0.17,5270.833333,5750.0,96.0,32.0
0.0,4,0.18,5270.833333,5750.0,96.0,32.0
0.0,4,0.18,5270.833333,5750.0,96.0,32.0
0.0,4,0.18,5270.833333,5750.0,96.0,32.0
0.0,4,0.18,5270.833333,5750.0,96.0,32.0
0.0,4,0.18,5270.833333,5750.0,96.0,32.0
0.0,4,0.19,5270.833333,5718.75,96.0,32.0
0.0,4,0.19,5270.833333,5750.0,96.0,32.0
0.0,4,0.19,5270.833333,5750.0,96.0,32.0
0.0,4,0.19,5270.833333,5750.0,96.0,32.0
0.0,4,0.19,5270.833333,5750.0,96.0,32.0
0.0,4,0.2,5270.833333,5750.0,96.0,32.0
0.0,4,0.2,5276.041667,5765.625,96.0,32.0
0.0,4,0.2,5270.833333,5750.0,96.0,32.0
0.0,4,0.2,5270.833333,5750.0,96.0,32.0
0.0,4,0.2,5270.833333,5750.0,96.0,32.0
0.0,4,0.21,5270.833333,5750.0,96.0,32.0
0.0,4,0.21,5270.833333,5750.0,96.0,32.0
0.0,4,0.21,5270.833333,5750.0,96.0,32.0
0.0,4,0.21,5270.833333,5718.75,96.0,32.0
0.0,4,0.21,5270.833333,5750.0,96.0,32.0
0.0,4,0.22,5270.833333,5750.0,96.0,32.0
0.0,4,0.22,5270.833333,5750.0,96.0,32.0
0.0,4,0.22,5270.833333,5750.0,96.0,32.0
0.0,4,0.22,5270.833333,5750.0,96.0,32.0
0.0,4,0.22,5270.833333,5750.0,96.0,32.0
0.0,4,0.23,5270.833333,5750.0,96.0,32.0
0.0,4,0.23,5270.833333,5750.0,96.0,32.0
0.0,4,0.23,5270.833333,5750.0,96.0,32.0
0.0,4,0.23,5270.833333,5750.0,96.0,32.0
0.0,4,0.23,5270.833333,5718.75,96.0,32.0
0.0,4,0.24,5270.833333,5750.0,96.0,32.0
0.0,4,0.24,5270.833333,5718.75,96.0,32.0
0.0,4,0.24,5270.833333,5750.0,96.0,32.0
0.0,4,0.24,5270.833333,5750.0,96.0,32.0
0.0,4,0.24,5270.833333,5750.0,96.0,32.0
0.0,4,0.25,5270.833333,5750.0,96.0,32.0
0.0,4,0.25,5270.833333,5750.0,96.0,32.0
0.0,4,0.25,5270.833333,5750.0,96.0,32.0
0.0,4,0.25,5270.833333,5750.0,96.0,32.0
0.0,4,0.25,5270.833333,5750.0,96.0,32.0
0.0,4,0.26,5270.833333,5750.0,96.0,32.0
0.0,4,0.26,5270.833333,5750.0,96.0,32.0
0.0,4,0.26,5270.833333,5750.0,96.0,32.0
0.0,4,0.26,5270.833333,5750.0,96.0,32.0
0.0,4,0.26,5270.833333,5750.0,96.0,32.0
0.0,4,0.27,5270.833333,5750.0,96.0,32.0
0.0,4,0.27,5270.833333,5750.0,96.0,32.0
0.0,4,0.27,5270.833333,5750.0,96.0,32.0
0.0,4,0.27,5270.833333,5750.0,96.0,32.0
0.0,4,0.27,5270.833333,5750.0,96.0,32.0
0.0,4,0.28,5270.833333,5750.0,96.0,32.0
0.0,4,0.28,5270.833333,5750.0,96.0,32.0
0.0,4,0.28,5270.833333,5750.0,96.0,32.0
0.0,4,0.28,5270.833333,5750.0,96.0,32.0
0.0,4,0.28,5270.833333,5750.0,96.0,32.0
0.0,4,0.29,5270.833333,5750.0,96.0,32.0
0.0,4,0.29,5270.833333,5750.0,96.0,32.0
0.0,4,0.29,5270.833333,5750.0,96.0,32.0
0.0,4,0.29,5270.833333,5750.0,96.0,32.0
0.0,4,0.29,5270.833333,5750.0,96.0,32.0
0.0,4,0.3,5270.833333,5750.0,96.0,32.0
0.0,4,0.3,5270.833333,5750.0,96.0,32.0
0.0,4,0.3,5270.833333,5718.75,96.0,32.0
0.0,4,0.3,5270.833333,5750.0,96.0,32.0
0.0,4,0.3,5270.833333,5750.0,96.0,32.0
0.0,8,0.02,6765.625,7257.8125,384.0,128.0
0.0,8,0.02,6765.625,7257.8125,384.0,128.0
0.0,8,0.02,6765.625,7257.8125,384.0,128.0
0.0,8,0.02,6765.625,7257.8125,384.0,128.0
0.0,8,0.02,6765.625,7257.8125,384.0,128.0
0.0,8,0.03,7028.645833,7531.25,384.0,128.0
0.0,8,0.03,6765.625,7257.8125,384.0,128.0
0.0,8,0.03,7028.645833,7531.25,384.0,128.0
0.0,8,0.03,6777.34375,7265.625,384.0,128.0
0.0,8,0.03,6765.625,7257.8125,384.0,128.0
0.0,8,0.04,6765.625,7257.8125,384.0,128.0
0.0,8,0.04,6765.625,7257.8125,384.0,128.0
0.0,8,0.04,6832.03125,7328.125,384.0,128.0
0.0,8,0.04,6765.625,7257.8125,384.0,128.0
0.0,8,0.04,7028.645833,7531.25,384.0,128.0
0.0,8,0.05,6765.625,7257.8125,384.0,128.0
0.0,8,0.05,6765.625,7257.8125,384.0,128.0
0.0,8,0.05,6765.625,7257.8125,384.0,128.0
0.0,8,0.05,6765.625,7257.8125,384.0,128.0
0.0,8,0.05,6832.03125,7328.125,384.0,128.0
0.0,8,0.06,6652.34375,7156.25,384.0,128.0
0.0,8,0.06,6765.625,7257.8125,384.0,128.0
0.0,8,0.06,7028.645833,7531.25,384.0,128.0
0.0,8,0.06,6765.625,7257.8125,384.0,128.0
0.0,8,0.06,6765.625,7257.8125,384.0,128.0
0.0,8,0.07,6765.625,7257.8125,384.0,128.0
0.0,8,0.07,6765.625,7257.8125,384.0,128.0
0.0,8,0.07,6765.625,7257.8125,384.0,128.0
0.0,8,0.07,7028.645833,7531.25,384.0,128.0
0.0,8,0.07,7028.645833,7531.25,384.0,128.0
0.0,8,0.08,6765.625,7257.8125,384.0,128.0
0.0,8,0.08,6765.625,7257.8125,384.0,128.0
0.0,8,0.08,6765.625,7257.8125,384.0,128.0
0.0,8,0.08,6765.625,7257.8125,384.0,128.0
0.0,8,0.08,6765.625,7257.8125,384.0,128.0
0.0,8,0.09,6765.625,7257.8125,384.0,128.0
0.0,8,0.09,6765.625,7257.8125,384.0,128.0
0.0,8,0.09,7049.479167,7562.5,384.0,128.0
0.0,8,0.09,7028.645833,7531.25,384.0,128.0
0.0,8,0.09,6765.625,7257.8125,384.0,128.0
0.0,8,0.1,6765.625,7257.8125,384.0,128.0
0.0,8,0.1,7028.645833,7531.25,384.0,128.0
0.0,8,0.1,7028.645833,7531.25,384.0,128.0
0.0,8,0.1,6765.625,7257.8125,384.0,128.0
0.0,8,0.1,7028.645833,7531.25,384.0,128.0
0.0,8,0.11,6765.625,7257.8125,384.0,128.0
0.0,8,0.11,6765.625,7257.8125,384.0,128.0
0.0,8,0.11,7028.645833,7531.25,384.0,128.0
