fault_rate,num_rows,injection_rate,system.ruby.network.average_flit_latency,system.ruby.network.average_packet_latency,system.ruby.network.flits_received::total,system.ruby.network.packets_received::total
0.0,4,0.13,10166.56051,9289.346247,1570.0,826.0
0.0,4,0.13,9896.262395,9066.433566,1311.0,715.0
0.0,4,0.13,9526.113014,8857.352941,1168.0,680.0
0.0,4,0.13,8830.434783,9024.822695,575.0,423.0
0.0,4,0.14,9874.490628,9097.201767,1227.0,679.0
0.0,4,0.14,8531.590414,8934.604905,459.0,367.0
0.0,4,0.14,10013.69863,9279.470199,1387.0,755.0
0.0,4,0.14,9393.491124,9136.261261,676.0,444.0
0.0,4,0.14,10012.898331,9191.549296,1318.0,710.0
0.0,4,0.15,10062.942565,9236.051502,1271.0,699.0
0.0,4,0.15,9180.395387,9105.839416,607.0,411.0
0.0,4,0.15,8556.866953,8961.229947,466.0,374.0
0.0,4,0.15,9406.944444,9072.916667,720.0,432.0
0.0,4,0.15,10019.69112,9245.529574,1295.0,727.0
0.0,4,0.16,9839.171975,9074.605452,1256.0,697.0
0.0,4,0.16,9398.666667,8936.213992,750.0,486.0
0.0,4,0.16,9346.555324,8897.766323,958.0,582.0
0.0,4,0.16,8417.153996,8779.012346,513.0,405.0
0.0,4,0.16,9040.066778,8992.771084,599.0,415.0
0.0,4,0.17,10337.091988,9086.419753,1685.0,891.0
0.0,4,0.17,10036.171816,9304.911323,1327.0,733.0
0.0,4,0.17,10077.726218,9318.892045,1293.0,704.0
0.0,4,0.17,8670.849421,8966.41791,518.0,402.0
0.0,4,0.17,10080.541696,9258.988016,1403.0,751.0
0.0,4,0.18,10319.384615,9206.57277,1625.0,852.0
0.0,4,0.18,10153.230769,9269.454123,1625.0,861.0
0.0,4,0.18,9309.734513,8909.192825,678.0,446.0
0.0,4,0.18,8906.574394,8871.859296,578.0,398.0
0.0,4,0.18,9834.597876,9148.921833,1318.0,742.0
0.0,4,0.19,9507.434944,9106.508876,807.0,507.0
0.0,4,0.19,9549.822064,8999.021526,843.0,511.0
0.0,4,0.19,9459.183673,9066.543438,833.0,541.0
0.0,4,0.19,9847.808765,9079.856115,1255.0,695.0
0.0,4,0.19,9588.077336,9271.604938,931.0,567.0
0.0,4,0.2,10383.814641,9367.055772,1489.0,771.0
0.0,4,0.2,9568.211068,9183.56998,777.0,493.0
0.0,4,0.2,10255.82169,9255.372946,1503.0,791.0
0.0,4,0.2,10284.959602,9424.028269,1609.0,849.0
0.0,4,0.2,9217.455621,9096.73913,676.0,460.0
0.0,4,0.21,9150.740242,8960.552268,743.0,507.0
0.0,4,0.21,9076.60626,8972.019465,607.0,411.0
0.0,4,0.21,9823.868313,9105.417277,1215.0,683.0
0.0,4,0.21,10156.931464,9420.454545,1284.0,704.0
0.0,4,0.21,9160.033167,9103.614458,603.0,415.0
0.0,4,0.22,9016.155089,9046.403712,619.0,431.0
0.0,4,0.22,9790.123457,9212.412587,972.0,572.0
0.0,4,0.22,10058.701657,9164.340102,1448.0,788.0
0.0,4,0.22,9013.09329,8760.545906,611.0,403.0
0.0,4,0.22,9099.675851,9016.317016,617.0,429.0
0.0,4,0.23,10289.807302,9041.666667,1972.0,984.0
0.0,4,0.23,9750.736016,9204.065041,1019.0,615.0
0.0,4,0.23,10190.066225,9264.814815,1510.0,810.0
0.0,4,0.23,9482.666667,9112.869198,750.0,474.0
0.0,4,0.23,9383.290816,9085.685484,784.0,496.0
0.0,4,0.24,8655.963303,8853.470437,545.0,389.0
