fault_rate,num_rows,num_cols,injection_rate,system.ruby.network.average_flit_latency,system.ruby.network.average_packet_latency,system.ruby.network.flits_received::total,system.ruby.network.packets_received::total
0.0,4,4,0.32,8866.033755,9240.331492,474.0,362.0
0.0,4,4,0.32,9493.810179,9257.763975,727.0,483.0
0.0,4,4,0.32,9403.947368,9105.846774,760.0,496.0
0.0,4,4,0.32,10578.362573,9543.478261,1710.0,874.0
0.0,4,4,0.32,9269.881557,9276.942356,591.0,399.0
0.0,4,4,0.32,9632.653061,9222.782258,784.0,496.0
0.0,4,4,0.32,9548.945783,9379.385965,664.0,456.0
0.0,4,4,0.32,9481.903485,9169.387755,746.0,490.0
0.0,4,4,0.34,9197.792869,9127.139364,589.0,409.0
0.0,4,4,0.34,9010.204082,9118.798956,539.0,383.0
0.0,4,4,0.34,9000.0,9034.398034,587.0,407.0
0.0,4,4,0.34,9823.085221,9328.828829,927.0,555.0
0.0,4,4,0.34,9899.39759,9480.038023,830.0,526.0
0.0,4,4,0.34,9401.650619,9230.142566,727.0,491.0
0.0,4,4,0.34,8750.0,9108.516484,476.0,364.0
0.0,4,4,0.34,9045.714286,9249.343832,525.0,381.0
0.0,4,4,0.34,8991.412214,9359.52381,524.0,420.0
0.0,4,4,0.34,9487.426036,9406.521739,676.0,460.0
0.0,4,4,0.36,9255.0,9340.144231,600.0,416.0
0.0,4,4,0.36,9133.45521,9326.034063,547.0,411.0
0.0,4,4,0.36,9085.899514,9292.134831,617.0,445.0
0.0,4,4,0.36,9019.677996,9101.583113,559.0,379.0
0.0,4,4,0.36,10172.477064,9551.401869,1090.0,642.0
0.0,4,4,0.36,9417.96875,9349.330357,640.0,448.0
0.0,4,4,0.36,9380.45007,9214.132762,711.0,467.0
0.0,4,4,0.36,8918.498168,9104.271357,546.0,398.0
0.0,4,4,0.36,8701.413428,9045.6621,566.0,438.0
0.0,4,4,0.36,8758.517034,9049.865229,499.0,371.0
0.0,4,4,0.38,9143.478261,9137.592138,575.0,407.0
0.0,4,4,0.38,9504.098361,9204.831933,732.0,476.0
0.0,4,4,0.38,10184.251969,9421.852388,1270.0,691.0
0.0,4,4,0.38,9508.290816,9050.403226,784.0,496.0
0.0,4,4,0.38,9219.65812,9346.246973,585.0,413.0
0.0,4,4,0.38,8715.320911,9111.111111,483.0,351.0
0.0,4,4,0.38,10704.558405,9441.530055,1755.0,915.0
0.0,4,4,0.38,9632.258065,9245.341615,775.0,483.0
0.0,4,4,0.38,8673.545966,8933.766234,533.0,385.0
0.0,4,4,0.38,10675.690919,9542.857143,1773.0,910.0
0.0,4,4,0.4,8561.330561,9140.25974,481.0,385.0
0.0,4,4,0.4,9334.355828,9314.732143,652.0,448.0
0.0,4,4,0.4,10129.782834,9433.39254,967.0,563.0
0.0,4,4,0.4,9585.870889,9271.59309,821.0,521.0
0.0,4,4,0.4,9634.408602,9219.537815,744.0,476.0
0.0,4,4,0.4,9698.863636,9395.491803,792.0,488.0
0.0,4,4,0.4,10517.07989,9462.884411,1815.0,943.0
0.0,4,4,0.4,9125.68306,9319.201995,549.0,401.0
0.0,4,4,0.4,9574.906367,9344.311377,801.0,501.0
0.0,4,4,0.4,9360.031104,9232.346241,643.0,439.0
0.0,8,8,0.02,22116.209476,23470.5064,2005.0,1797.0
0.0,8,8,0.02,21257.164404,23544.06308,1326.0,1078.0
0.0,8,8,0.02,22013.926325,23342.527583,2226.0,1994.0
0.0,8,8,0.02,20869.88764,22902.132313,2225.0,1829.0
0.0,8,8,0.02,20822.928709,22778.940028,2595.0,2151.0
0.0,8,8,0.02,21562.012757,23536.783576,2822.0,2338.0
0.0,8,8,0.02,21601.066193,23431.853786,2251.0,1915.0
0.0,8,8,0.02,21262.290341,23372.638209,1729.0,1429.0
0.0,8,8,0.02,21793.142089,23621.93851,2231.0,1919.0
0.0,8,8,0.02,21741.464418,23371.415139,2431.0,2127.0
0.0,8,8,0.04,20943.078669,22888.939671,2644.0,2188.0
0.0,8,8,0.04,20219.101124,22492.957746,2670.0,2130.0
0.0,8,8,0.04,22101.034037,24067.156614,2321.0,1973.0
0.0,8,8,0.04,19189.458086,21009.865005,2362.0,1926.0
0.0,8,8,0.04,20282.818145,22491.995998,2491.0,1999.0
0.0,8,8,0.04,21670.694285,23449.889135,2607.0,2255.0
0.0,8,8,0.04,20631.542935,22825.556957,2923.0,2379.0
0.0,8,8,0.04,20386.812792,22642.381164,2783.0,2251.0
0.0,8,8,0.04,21153.422141,23265.892758,2177.0,1809.0
0.0,8,8,0.04,20967.371737,22529.136316,2222.0,1922.0
0.0,8,8,0.06,20748.916811,23004.483122,2308.0,1896.0
0.0,8,8,0.06,20841.253994,22917.794971,2504.0,2068.0
0.0,8,8,0.06,20840.271878,23156.019007,2354.0,1894.0
0.0,8,8,0.06,20972.557415,23021.103896,2569.0,2156.0
0.0,8,8,0.06,21773.982558,23840.987868,2752.0,2308.0
0.0,8,8,0.06,19309.600286,21705.381785,2802.0,2174.0
0.0,8,8,0.06,19939.671274,22225.874126,2677.0,2145.0
0.0,8,8,0.06,19474.793078,21371.945701,2658.0,2210.0
0.0,8,8,0.06,21424.959872,23721.624266,2492.0,2044.0
0.0,8,8,0.06,21758.697591,23458.546571,2242.0,1954.0
0.0,8,8,0.08,21059.94205,23248.355984,2761.0,2281.0
0.0,8,8,0.08,22752.640845,24428.359684,2272.0,2024.0
0.0,8,8,0.08,20768.408551,22868.233618,2526.0,2106.0
0.0,8,8,0.08,22077.414506,24137.172076,2661.0,2249.0
0.0,8,8,0.08,18616.666667,21229.458042,3180.0,2288.0
0.0,8,8,0.08,20699.562773,23737.615449,3202.0,2382.0
0.0,8,8,0.08,21745.866974,24275.634995,2601.0,2126.0
0.0,8,8,0.08,19720.107651,22171.175603,2601.0,2033.0
0.0,8,8,0.08,20823.499318,23496.09375,2932.0,2304.0
0.0,8,8,0.08,19768.830703,21849.823322,2788.0,2264.0
0.0,8,8,0.1,19934.569629,22518.094366,2858.0,2183.0
0.0,8,8,0.1,21562.826174,23601.742817,2491.0,2123.0
0.0,8,8,0.1,20696.810439,23421.224871,2759.0,2139.0
0.0,8,8,0.1,20560.697518,22896.825397,2982.0,2394.0
0.0,8,8,0.1,21468.659942,24581.632653,2776.0,2156.0
0.0,8,8,0.1,21510.363707,23558.617468,2557.0,2141.0
